; SWMM 5 Rainfall File for station MUMBAI_mumbai_monsoon_2021_06_18
; Units: mm/h (intensity over 30-minute interval)
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 00 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 00 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 01 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 01 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 02 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 02 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 03 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 03 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 04 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 04 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 05 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 05 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 06 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 06 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 07 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 07 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 08 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 08 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 09 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 09 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 10 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 10 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 11 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 11 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 12 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 12 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 13 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 13 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 14 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 14 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 15 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 15 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 16 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 16 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 17 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 17 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 18 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 18 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 19 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 19 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 20 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 20 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 21 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 21 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 22 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 22 30 23.550
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 23 00 33.450
MUMBAI_mumbai_monsoon_2021_06_18 2021 06 18 23 30 23.550
